admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,T_TL,M_TL,F_TL,T_00_04,T_05_09,T_10_14,T_15_19,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_19,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_19,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
Tigray,ET01,Ethiopia,ET,5649587,2777801,2871786,752790,803204,843955,656076,477295,178781,480311,377136,294510,301990,227678,211634,172226,133767,101492,292817,370133,394921,414958,322581,234678,87903,236160,185431,144805,148483,111945,104057,84681,65771,49902,143973,382657,408283,428997,333495,242618,90877,244151,191705,149705,153507,115733,107577,87546,67996,51590,148844
Afar,ET02,Ethiopia,ET,1989997,1083584,906413,327046,348948,262587,209462,152384,57078,166329,157077,123516,105936,79631,59996,45955,31704,22279,49531,178081,190007,142982,114055,82975,31080,90569,85531,67256,57684,43361,32669,25023,17263,12131,26971,148964,158940,119604,95406,69408,25998,75760,71546,56260,48252,36271,27327,20932,14441,10148,22561
Amhara,ET03,Ethiopia,ET,22530515,11289837,11240678,2797788,2985156,3187607,2553372,1857578,695794,1789393,1796181,1236551,1277778,916270,887852,737148,605054,553173,1207194,1401946,1495834,1597281,1279472,930816,348656,896648,900050,619624,640283,459134,444895,369378,303187,277190,604914,1395842,1489321,1590326,1273901,926763,347138,892744,896131,616926,637495,457135,442957,367770,301867,275983,602280
Oromia,ET04,Ethiopia,ET,39075002,19548351,19526651,5981785,6382384,5953358,4181816,3042271,1139545,2883867,2809654,2139507,2269737,1504538,1147222,950241,737082,678648,1455165,2992553,3192964,2978332,2092069,1521980,570089,1442734,1405607,1070348,1135499,752687,573930,475384,368745,339512,727987,2989231,3189420,2975026,2089747,1520291,569456,1441133,1404047,1069159,1134238,751851,573292,474857,368336,339135,727179
Somali,ET05,Ethiopia,ET,6355003,3390846,2964157,1137580,1213763,1042257,659338,479668,179670,399063,394924,327010,279004,265775,164953,184791,75687,81635,129224,606980,647629,556118,351803,255937,95866,212928,210720,174483,148868,141810,88014,98599,40384,43558,68950,530600,566134,486139,307534,223731,83803,186134,184204,152527,130135,123965,76939,86192,35303,38077,60274
Benishangul-Gumz,ET06,Ethiopia,ET,1187997,602571,585426,177975,189893,158345,135718,98735,36983,101937,98070,69013,75154,42961,39594,32275,18182,21798,27081,90271,96317,80315,68838,50080,18758,51704,49743,35005,38120,21790,20083,16370,9222,11056,13736,87703,93577,78030,66880,48655,18225,50233,48327,34009,37035,21170,19511,15905,8960,10742,13345
SNNP,ET07,Ethiopia,ET,13250645,6534167,6716478,2018879,2154083,1983563,1445838,1051847,393991,915193,1018431,794074,776279,528777,429134,332788,279927,230742,342935,995551,1062223,978136,712972,518687,194285,451300,502210,391574,382799,260751,211615,164105,138038,113784,169108,1023328,1091860,1005427,732865,533159,199706,463892,516222,402500,393480,268026,217519,168683,141889,116958,173827
South West Ethiopia,ET11,Ethiopia,ET,3453447,1719260,1734188,526170,561408,516966,376821,274137,102684,238522,265428,206955,202318,137812,111843,86733,72956,60137,89377,261948,279490,257366,187596,136476,51120,118745,132141,103030,100722,68608,55680,43179,36320,29939,44496,264222,281917,259600,189225,137661,51564,119776,133288,103925,101596,69204,56163,43554,36636,30198,44882
Gambella,ET12,Ethiopia,ET,492002,256002,236000,70413,75128,70466,60753,44198,16555,41322,39961,31375,30267,20678,16789,13792,6623,6674,7761,36638,39091,36666,31611,22997,8614,21501,20793,16325,15749,10759,8736,7176,3446,3473,4038,33775,36037,33801,29141,21200,7941,19821,19168,15050,14518,9919,8053,6616,3177,3201,3723
Harari,ET13,Ethiopia,ET,270000,136000,134000,36034,38447,35742,28361,20633,7728,26041,23072,16296,18437,11945,9213,7371,6051,2830,10158,18151,19366,18003,14286,10393,3893,13117,11621,8209,9287,6017,4641,3713,3048,1426,5117,17884,19081,17739,14076,10240,3836,12924,11450,8088,9150,5928,4572,3658,3003,1405,5042
Addis Ababa,ET14,Ethiopia,ET,3773999,1781999,1992000,292310,311886,302028,440931,320777,120154,512993,507828,342881,288801,180541,125978,112701,88477,88874,177771,138022,147266,142611,208198,151464,56734,242224,239785,161901,136365,85248,59484,53215,41777,41965,83940,154288,164620,159417,232733,169313,63420,270769,268043,180980,152435,95294,66494,59486,46700,46910,93831
Dire Dawa,ET15,Ethiopia,ET,521000,263000,258000,67349,71859,63642,55512,40385,15127,50350,46895,36377,31672,25141,21242,14287,9255,10954,16465,33998,36274,32126,28022,20386,7636,25416,23672,18363,15988,12691,10723,7212,4672,5529,8312,33351,35585,31515,27490,19999,7491,24933,23222,18014,15684,12450,10519,7075,4583,5424,8154
Sidama,ET16,Ethiopia,ET,3987457,2005940,1981517,607532,648219,596905,435090,316528,118562,275405,306472,238957,233602,159123,129137,100144,84237,69436,103198,305627,326095,300280,218877,159233,59644,138546,154175,120210,117517,80049,64964,50379,42377,34931,51915,301906,322124,296624,216212,157294,58918,136859,152297,118747,116086,79074,64173,49766,41861,34505,51283
